#,Compound,Conc,Measure,Art#,db_name,updated_to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Potassium dichromate,0.5,pet,P-014A,S-1000,01.01.2015,dipotassium dichromate,dipotassium bichromate,Chromium compounds,Chromium,chromium salts,Chromium metal,chrome,Chromic acid salts,chromium oxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,p-PHENYLENEDIAMINE,1,pet,P-006,S-1000,01.01.2015,p-PHENYLENEDIAMINE (PPD),PPD,paraphenylenediamine,4-phenylenediamine,phenylenediamine,p-diaminobenzene,4-aminoaniline,"1,4-benzenediamine","1,4-diaminobenzene",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Thiuram mix,1,pet,Mx-01,S-1000,01.01.2015,Dipentamethylenethiuram disulfide,Dipentamethylenethiuramdisulfide,"disulfide, bis(1-piperidinylthioxomethyl)",bis(pentamethylene)thiuram disulfide,"1,1’-(dithiodicarbonothioyl)bispiperidine",PTD,Tetraethylthiuram disulfide (TETD),Tetraethylthiuram disulfide,TETD,Disulfiram (tetraethylthiuram disulfide),Disulfiram,"1,1’-dithiobis(N,N-diethylthioformamide)","bis(N,N-diethylthiocarbamoyl) disulfide",tetraethylthiuram disulfide,tetraethylthioperoxydicarbonic diamide,antabuse,Tetramethylthiuram disulfide (TMTD),Tetramethylthiuram disulfide,TMTD,Tetramethylthiuramdisulfide,thiram,bis(dimethyl thiocarbamoyl)disulfide,tetramethylthioperoxydicarbonic diamide,"N,N’-(dithiodicarbonothioyl)bis(Nmethylmethanamine)",tetramethylthiocarbamoyldisulphide,Tetramethylthiuram monosulfide (TMTM),Tetramethylthiuram monosulfide,TMTM,Tetramethylthiurammonosulfide,bis(dimethylthiocarbamoyl) sulfide,tetramethylthiuram sulfide,tetramethyldithiocarbamic acid anhydrosulfide,"sulfide, bis(dimethylthiocarbamoyl)",,,,,,,,,,,,,,,,,,,,,,,,
,Dipentamethylenethiuram disulfide,0.25,,D-019,S-1000,01.01.2015,Dipentamethylenethiuramdisulfide,"disulfide, bis(1-piperidinylthioxomethyl)",bis(pentamethylene)thiuram disulfide,"1,1’-(dithiodicarbonothioyl)bispiperidine",PTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tetraethylthiuram disulfide (TETD),0.25,,T-002,S-1000,01.01.2015,Tetraethylthiuram disulfide,TETD,Disulfiram (tetraethylthiuram disulfide),Disulfiram,"1,1’-dithiobis(N,N-diethylthioformamide)","bis(N,N-diethylthiocarbamoyl) disulfide",tetraethylthiuram disulfide,tetraethylthioperoxydicarbonic diamide,antabuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tetramethylthiuram disulfide (TMTD),0.25,,T-005,S-1000,01.01.2015,Tetramethylthiuram disulfide,TMTD,Tetramethylthiuramdisulfide,thiram,bis(dimethyl thiocarbamoyl)disulfide,tetramethylthioperoxydicarbonic diamide,"N,N’-(dithiodicarbonothioyl)bis(Nmethylmethanamine)",tetramethylthiocarbamoyldisulphide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tetramethylthiuram monosulfide (TMTM),0.25,,T-006,S-1000,01.01.2015,Tetramethylthiuram monosulfide,TMTM,Tetramethylthiurammonosulfide,bis(dimethylthiocarbamoyl) sulfide,tetramethylthiuram sulfide,tetramethyldithiocarbamic acid anhydrosulfide,"sulfide, bis(dimethylthiocarbamoyl)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Neomycin Sulfate,20,pet,N-001,S-1000,01.01.2015,Neomycin,neomycin B sulfate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Cobalt(II)chloride hexahydrate,1,pet,C-017A,S-1000,01.01.2015,Cobalt Dichloride,Cobalt blue,Cobalt,Cobaltous chloride,Cobalt dichloride,Hexahydrate,Cobalt chloride,Cobaltous chloride hexahydrate,Cobalt (II) chloride hexahydrate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cobalt Dichloride,,,,S-1000,01.01.2015,Cobalt(II)chloride hexahydrate,Cobalt blue,Cobalt,Cobaltous chloride,Cobalt dichloride,Hexahydrate,Cobalt chloride,Cobaltous chloride hexahydrate,Cobalt (II) chloride hexahydrate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CAINE MIX,10,pet,Mx-19,S-1000,01.01.2015,Caine mix III,Metabutethamine,Procaine,Proparacaine,Benoxinate hydrochloride,Butamben picrate,Cocaine hydrochloride,Butacaine,Amylocaine,Benzamine,Naepaine,Cyclomethycaine,Orthocaine,Meprylcaine hydrochloride,Propoxycaine,Metabutozycaine risocaine,Piperocaine hydrochloride,Chloroprocaine hydrochloride,Hexylcaine hydrochloride,Meta-aminobenzoic acid esters,Proparacaine hydrochloride,Tetracaine hydrochloride,"Tetracaine hydrochloride, USP",dimethylaminoethyl p-butyl-aminobenzoate,"benzoic acid, 4-(butylamino)-, 2-(dimethylamino)ethyl ester",Dibucaine hydrochloride,Cinchocaine HCl,Nupercaine HCl,Percaine,Cincaine,"Dibucaine hydrochloride, USP",cinchocaine,butyloxycinchoninic acid diethylethylenediamide,2-butoxyquinoline-4-carboxylic acid diethylaminoethylamide,,,,,,,,,,,,,,,,,,,,,,,
,Tetracaine hydrochloride,2.5,,T-025,S-1000,01.01.2015,"Tetracaine hydrochloride, USP",dimethylaminoethyl p-butyl-aminobenzoate,"benzoic acid, 4-(butylamino)-, 2-(dimethylamino)ethyl ester",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
